event_date,new,retained,total,app::multi-filter
2017-01-19,3902,150,4052,rovio_3bb4586d
2017-01-19,4,4,8,abbakunluniosgpchina_1fffd0c2
2017-01-19,317,2562,2879,ChannelRoku
2017-01-19,66,493,559,AngryBirdsSpaceLight
2017-01-19,179,576,755,Birdkeeper
2017-01-19,134,604,738,purpleamazonfire_74641a18
2017-01-19,1399,4343,5742,BadPiggiesFull
2017-01-19,112,707,819,badpiggiesodyssey_38481962
2017-01-19,538,356,894,abactionchinaandroid_1d7ba513
2017-02-28,51,415,466,AngryBirdsSpaceLight
2017-02-28,1911,9455,11366,ChannelSmartTv
2017-02-28,2453,827,3280,rovio_3bb4586d
2017-02-28,1,2,3,toonsclientsdk_3f59016a
2017-02-28,859,3469,4328,BadPiggiesFull
2017-02-28,1282,3467,4749,AngryBirdsStarWarsFull
2017-02-28,,1,1,spilgames_64ada0f8
2017-02-28,45,189,234,PurpleChina
2017-02-28,259,2153,2412,ChannelRoku
2017-02-28,401,1625,2026,AngryBirdsSeasonsFull
2017-02-28,115,281,396,popcorn_7901fbf5
2017-02-28,2646,196,2842,ChannelWeb
2017-02-28,43,471,514,BadPiggiesLight
2017-02-28,2304,8202,10506,AngryBirdsRioFull
2017-02-28,1169,583,1752,toonstvkidoz_c161558
2017-02-28,80,654,734,Purple
2017-02-28,519,1422,1941,toonstvmade4samsung_6d2a0fc4
2017-02-28,3129,5022,8151,Abba
2017-02-28,2638,8452,11090,AngryBirdsClassic
2017-02-28,8,58,66,ChannelAngryBirdsRoost
2017-02-28,1,3,4,abbakunluniosgpchina_1fffd0c2
2017-02-28,916,2439,3355,Yellow
2017-02-28,149,2,151,spilgamesweb_4015b0ee
2017-02-28,485,4328,4813,AngryBirdsClassicLight
2017-02-28,165,556,721,Birdkeeper
2017-02-28,136,725,861,AngryBirdsStarWarsLight
2017-02-28,66,625,691,badpiggiesodyssey_38481962
2017-02-28,53,479,532,purpleamazonfire_74641a18
2017-02-28,278,855,1133,Gold
2017-02-28,206,802,1008,AngryBirdsClassicTalkweb
2017-02-28,953,3233,4186,AngryBirdsSpaceFull
2017-02-28,725,3837,4562,Crimson
2017-02-28,661,2464,3125,AngryBirdsFriends
2017-02-28,117,130,247,angrybirdsfortumo_7bf816e1
2017-02-28,3641,20077,23718,Toonstv
2017-02-28,8,15,23,tntgame_149fb4d3
2017-02-28,,1,1,lgtv_7fb7e2ff
2017-02-28,135,88,223,abactionchina_49cba9cb
2017-02-28,201,168,369,abactionchinaandroid_1d7ba513
2017-02-28,720,2889,3609,BlueSteel
2017-02-28,21,161,182,toonstvappletv_7c3cb333
2017-03-01,14,54,68,ChannelAngryBirdsRoost
2017-03-01,811,2887,3698,BlueSteel
2017-03-01,1136,2922,4058,Yellow
2017-03-01,2959,855,3814,rovio_3bb4586d
2017-03-01,3186,11552,14738,ChannelSmartTv
2017-03-01,3286,10213,13499,AngryBirdsClassic
2017-03-01,178,928,1106,AngryBirdsStarWarsLight
2017-03-01,139,325,464,popcorn_7901fbf5
2017-03-01,1121,4244,5365,BadPiggiesFull
2017-03-01,205,704,909,AngryBirdsClassicTalkweb
2017-03-01,32,195,227,toonstvappletv_7c3cb333
2017-03-01,3328,231,3559,ChannelWeb
2017-03-01,205,3,208,spilgamesweb_4015b0ee
2017-03-01,3826,5941,9767,Abba
